AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2012,5623,5,ESCUELA TRUMPULO CHICO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,2,2,B,3,0,,13380383,2,20050316,7,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5623,5,ESCUELA TRUMPULO CHICO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,2,2,B,3,0,,14634281,1,20050114,7,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,1,1,A,3,0,,1967042,1,20050605,7,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,1,1,A,3,0,,20594620,2,20060417,6,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,2,2,A,3,0,,8591014,1,20041103,7,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,4,4,A,3,0,,24835925,2,20010707,10,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,6,6,A,3,0,,1783918,1,20001110,11,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,6,6,A,3,0,,4011017,2,20001211,11,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5624,3,ESCUELA METRENCO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,8,8,A,3,0,,22526945,1,19980430,14,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5635,9,ESCUELA TROMEN,9,,,9112,PADRE LAS CASAS,,,2,1,1,,10,1,1,5,5,A,1,1,,1014454,2,20070629,5,9,9112,PADRE LAS CASAS,0,0,0,,1
