AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2021,4796,1,ARTURO PRAT CHACON,8,BBIO,81,8110,TALCAHUANO,83,0,4,3,0,1,110,2,2,8,8,B,3,0,0,18180297,1,200708,13,5,5109,VIÑA DEL MAR,0,0,0,0,3
2021,5570,0,LICEO PABLO NERUDA,9,ARAUC,91,9101,TEMUCO,92,0,2,1,0,1,310,5,4,1,1,C,1,0,0,2976306,2,200512,15,12,12101,PUNTA ARENAS,0,0,0,0,5
2021,5570,0,LICEO PABLO NERUDA,9,ARAUC,91,9101,TEMUCO,92,0,2,1,0,1,310,5,4,4,4,I,1,0,0,9012965,2,200303,18,10,10109,PUERTO VARAS,0,0,0,0,7
2021,5810,6,COLEGIO BAUTISTA,9,ARAUC,91,9101,TEMUCO,92,0,4,3,0,1,110,2,2,7,7,A,3,0,0,19270304,1,200903,12,9,9101,TEMUCO,0,0,0,0,3
2021,6843,8,COLEGIO WINDSOR SCHOOL,14,RIOS,141,14101,VALDIVIA,141,0,4,3,0,1,310,5,4,3,3,A,3,0,0,3663786,2,200405,17,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,7406,3,COLEGIO SAN MATEO,10,LAGOS,103,10301,OSORNO,103,0,4,3,0,1,310,5,4,2,2,C,3,0,0,12238239,2,200507,15,12,12101,PUNTA ARENAS,0,0,0,0,5
2021,7415,2,INSTITUTO ALEMAN DE OSORNO,10,LAGOS,103,10301,OSORNO,103,0,4,3,0,1,310,5,4,1,1,B,1,0,0,7726045,1,200507,15,5,5109,VIÑA DEL MAR,0,0,0,0,5
2021,7416,0,LICEO OSORNO COLLEGE,10,LAGOS,103,10301,OSORNO,103,0,4,3,0,1,110,2,2,4,4,A,3,0,0,10862498,2,201202,9,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,7435,7,COLEGIO ALEMAN,10,LAGOS,101,10109,PUERTO VARAS,101,0,4,3,0,1,310,5,4,2,2,A,3,0,0,5912872,2,200511,15,1,1101,IQUIQUE,0,0,0,0,5
2021,7435,7,COLEGIO ALEMAN,10,LAGOS,101,10109,PUERTO VARAS,101,0,4,3,0,1,310,5,4,4,4,B,3,0,0,11946865,1,200311,17,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,7742,9,COLEGIO GERMANIA DEL VERBO DIVINO,10,LAGOS,101,10109,PUERTO VARAS,101,0,4,3,0,1,310,5,4,3,3,A,3,0,0,1954029,1,200402,17,10,10109,PUERTO VARAS,0,0,0,0,7
